signal_id,source_id,source_name,signal,classification,risk_level,review_status,priority,source_link,source_credibility_score,lending_relevance_score,manual_review_need_score,brief_candidate_score,quality_tier_cn,quality_tier_en,recommended_use_cn,recommended_use_en,quality_reason_cn,quality_reason_en
188,data_protection_commission_home,Data Protection Commission Zambia,International Cooperation: Collaborate with international data protection authorities to facilitate cross-border data transfers and ensure global data protection standards are upheld.,privacy,low,reviewed,2,https://www.dataprotection.gov.zm/#item-81,92,90,51,77,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
193,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2025-01-01 | Circulars | Gateway Switching Guide | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2025/GatewaySwitchingGuide.pdf",regulatory,low,reviewed,2,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2025/GatewaySwitchingGuide.pdf,92,89,51,77,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
210,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2024-01-01 | Circulars | CB Circular No. 20 of 2024 Notification of Change of Service Provider on the ZIPSS CSD and EBoP System Network | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2024/CBCircularNo.20of2024Notificatio",regulatory,low,reviewed,2,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2024/CBCircularNo.20of2024NotificationofChangeofServiceProviderontheZIPSSCSDandEBoPSystemNetwork.pdf,92,89,51,77,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
222,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2022-01-01 | Circulars | CB CIRCULAR NO. 11 OF 2022 - UPGRADE AND ISO 20022 MESSAGING STANDARD MIGRATION FOR THE REAL TIME GROSS SETTLEMENT SYSTEM | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2022/CBCIRCULARNO.11OF2022",regulatory,low,reviewed,2,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2022/CBCIRCULARNO.11OF2022UPGRADEANDISO20022MESSAGINGSTANDARDMIGRATIONFORTHEREALTIMEGROSSSETTLEMENTSYSTEM.pdf,92,89,51,77,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
239,boz_regulatory_documents_api,Bank of Zambia Regulatory Documents API,"2020-01-01 | Circulars | CB CIRCULAR NO.24 OF 2020: GO-LIVE DATES FOR PHASE TWO OF THE NATIONAL FINANCIAL SWITCH | Tags: Financial Stability, Banks | File: https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2020/CBCIRCULARNO24OF2020GOLIVEDATESFORPHASETWOOFTHENATIONAL",regulatory,low,reviewed,2,https://www.boz.zm/sites/default/files/migrated/financial-stability/circulars/banks/2020/CBCIRCULARNO24OF2020GOLIVEDATESFORPHASETWOOFTHENATIONALFINANCIALSWITCH.pdf,92,89,51,77,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
353,competitor_lupiya_home,Competitor Watch - Lupiya Home,"Once approved, your funds are sent directly to your account or creditors.",competitor_change,low,reviewed,1,https://www.lupiya.com/#item-78,76,86,75,76,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
417,competitor_powerkwacha_home,Competitor Watch - PowerKwacha Home,Account Delete Account Delete,competitor_change,low,reviewed,1,https://powerkwacha.app/accountdelete,76,86,75,76,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
348,competitor_lupiya_home,Competitor Watch - Lupiya Home,Get a Loan in 30 seconds,competitor_change,low,reviewed,2,https://www.lupiya.com/#item-67,76,86,72,76,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程；需要优先人工回源,public competitor or market source; directly affects micro-lending operations; needs priority source review
10,ccpc_public_notices,Competition and Consumer Protection Commission Notices,PUBLIC NOTICE: CONSUMER RIGHTS AND ONGOING INQUIRY,regulatory,low,reviewed,1,https://www.ccpc.org.zm/details/137,92,82,60,76,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
374,competitor_premiercredit_home,Competitor Watch - PremierCredit Home,PremierCredit Partners with Airtel Money to Unveil Loan Services,competitor_change,low,reviewed,2,https://www.premiercredit.co.zm/news/premiercredit-partners-with-airtel-money-to-unveil-loan-services/,76,88,66,75,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程,public competitor or market source; directly affects micro-lending operations
412,competitor_premiercredit_borrow,Competitor Watch - PremierCredit Borrow,This loan is used to improve a company’s working capital and cash flow when they have orders to execute. It allows a business (SME) to draw money against a confirmed purchase order from its customer.,competitor_change,low,reviewed,2,https://www.premiercredit.co.zm/borrow/#item-76,76,88,66,75,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程,public competitor or market source; directly affects micro-lending operations
191,data_protection_commission_home,Data Protection Commission Zambia,"PRESS BRIEFING BY THE NATIONAL COORDINATOR, MR. PERCY CHINYAMA ON THE ESTABLISHMENT OF THE OFFICE OF THE DATA PROTECTION COMMISSIONER",privacy,low,reviewed,3,https://www.dataprotection.gov.zm/press-briefing-by-the-national-coordinator-mr-percy-chinyama-on-the-establishment-of-the-office-of-the-data-protection-commissioner/,92,88,42,75,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
403,competitor_premiercredit_borrow,Competitor Watch - PremierCredit Borrow,Upload all required documents and submit for our internal processing. Get your loan decision within minutes,competitor_change,low,reviewed,2,https://www.premiercredit.co.zm/borrow/#item-63,76,86,66,74,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程,public competitor or market source; directly affects micro-lending operations
419,competitor_powerkwacha_home,Competitor Watch - PowerKwacha Home,Consumer Hotline：+260 773 868 979 Consumer Hotline：+260 773 868 979,competitor_change,low,reviewed,2,https://powerkwacha.app/#item-8,76,84,66,74,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,公开竞品/市场来源；直接影响小微贷款运营流程,public competitor or market source; directly affects micro-lending operations
34,ccpc_public_notices,Competition and Consumer Protection Commission Notices,"The Competition and Consumer Protection Commission (CCPC) signed a revised Memorandum of Understanding (MoU) with the COMESA Competition Commission (CCC) on 4th November, 2022 at Lusaka’s Mulungushi International Conference Center. The MoU has areas of cooperation which include; regional e-commerce ",regulatory,low,reviewed,2,https://www.ccpc.org.zm/#item-123,92,82,51,74,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
3,ccpc_public_notices,Competition and Consumer Protection Commission Notices,"CCPC public notice language reinforces clear, truthful, and sufficient consumer information",regulatory,low,reviewed,3,https://www.ccpc.org.zm/,92,84,42,73,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
28,ccpc_public_notices,Competition and Consumer Protection Commission Notices,"Throughout March 2026, the Competition and Consumer Protection Commission (CCPC) conducted a series of routine inspections and sensitisation exercises across Zambia in collaboration with local authorities and partner institutions. The activities focused on promoting consumer welfare, product safety,",regulatory,low,reviewed,3,https://www.ccpc.org.zm/#item-112,92,82,42,72,周报候选,Brief candidate,纳入周报候选，补一句业务解读,Use as brief candidate with one business interpretation,官方/高可信公开来源；直接影响小微贷款运营流程,official or high-trust public source; directly affects micro-lending operations
26,ccpc_public_notices,Competition and Consumer Protection Commission Notices,Consumers are also encouraged to seek clarification where information is unclear and to report concerns where they believe their rights may have been infringed. Consumers are also encouraged to seek clarification where information is unclear and to report concerns where they believe their rights may,news_signal,low,reviewed,1,https://www.ccpc.org.zm/#item-106,92,69,53,68,常规监控,Regular monitoring,保留常规监控,Keep in regular monitoring,官方/高可信公开来源,official or high-trust public source
31,ccpc_public_notices,Competition and Consumer Protection Commission Notices,CCPC is determined to work towards safer markets that will ensure business compliance and a more informed consumer base that will access services and products with confidence.,news_signal,low,reviewed,2,https://www.ccpc.org.zm/#item-115,92,62,44,63,常规监控,Regular monitoring,保留常规监控,Keep in regular monitoring,官方/高可信公开来源,official or high-trust public source
